20MICRONS,EQ,67,05/01/18,33.1,11/08/17,43105,42958
21STCENMGM,BE,33.4,11/01/18,33.4,11/01/18,43111,43111
3IINFOTECH,EQ,9.2,02/01/18,3.6,11/08/17,43102,42958
3MINDIA,EQ,20100,28/12/17,10705,06/03/17,43097,42800
5PAISA,EQ,408.15,27/12/17,181,05/12/17,43096,43074
63MOONS,EQ,164.9,24/10/17,54,10/08/17,43032,42957
8KMILES,EQ,1029.95,29/11/17,364.7,27/09/17,43068,43005
A2ZINFRA,EQ,52.65,26/04/17,33.55,11/08/17,42851,42958
AARTIDRUGS,EQ,785,09/01/18,447.8,24/05/17,43109,42879
AARTIIND,EQ,1174,05/01/18,653.3,02/03/17,43105,42796
AARVEEDEN,EQ,99.25,16/01/17,26.5,17/08/17,42751,42964
ABAN,EQ,280.7,11/01/18,161,11/08/17,43111,42958
ABB,EQ,1620,10/05/17,1046.45,25/01/17,42865,42760
ABBOTINDIA,EQ,5698.95,11/12/17,3988,29/05/17,43080,42884
ABCAPITAL,EQ,255,01/09/17,173.5,28/09/17,42979,43006
ABFRL,EQ,188.45,13/06/17,138.55,11/01/17,42899,42746
ABGSHIP,BZ,33.9,17/01/17,9.5,09/06/17,42752,42895
ABMINTLTD,BE,202,10/05/17,16.54,30/01/17,42865,42765
ACC,EQ,1869.95,13/09/17,1315,20/01/17,42991,42755
ACCELYA,EQ,1890,06/02/17,1260,17/11/17,42772,43056
ACE,EQ,172.4,11/01/18,46.05,24/01/17,43111,42759
ADANIENT,EQ,203.85,10/01/18,77,23/01/17,43110,42758
ADANIPORTS,EQ,443.3,06/11/17,283.4,20/01/17,43045,42755
ADANIPOWER,EQ,47.8,08/01/18,25.85,30/05/17,43108,42885
ADANITRANS,EQ,248,22/12/17,58.1,16/01/17,43091,42751
ADFFOODS,EQ,347,01/12/17,144.25,28/02/17,43070,42794
ADHUNIK,BE,9.3,20/02/17,3.6,07/09/17,42786,42985
ADHUNIKIND,BE,123.2,28/02/17,34.15,09/10/17,42794,43017
ADLABS,BE,93.5,23/02/17,52.5,23/08/17,42789,42970
ADORWELD,EQ,659,05/10/17,283.85,14/02/17,43013,42780
ADSL,BE,37.1,12/01/17,19,06/10/17,42747,43014
ADVANIHOTR,EQ,87,20/12/17,50.9,13/01/17,43089,42748
ADVENZYMES,EQ,444.98,24/04/17,246,28/09/17,42849,43006
AEGISCHEM,EQ,299.85,11/01/18,127,31/01/17,43111,42766
AFL,EQ,81.65,27/04/17,30.3,06/11/17,42852,43045
AGARIND,BE,790,18/05/17,320.4,27/01/17,42873,42762
AGCNET,BE,170.95,13/12/17,77.55,06/03/17,43082,42800
AGLSL,EQ,154.45,21/07/17,107.8,11/09/17,42937,42989
AGRITECH,EQ,147.45,01/11/17,28.2,09/03/17,43040,42803
AHLEAST,EQ,333,08/01/18,185.05,11/01/17,43108,42746
AHLUCONT,EQ,422,27/12/17,252.35,11/08/17,43096,42958
AHLWEST,BE,334.7,13/11/17,145.55,13/09/17,43052,42991
AIAENG,EQ,1709.75,18/12/17,1273,31/08/17,43087,42978
AICHAMP,BE,34,24/04/17,21.9,22/02/17,42849,42788
AIFL,EQ,570,07/11/17,349,27/04/17,43046,42852
AJANTPHARM,EQ,1852.95,22/03/17,1120.05,28/09/17,42816,43006
AJMERA,EQ,365.85,08/12/17,144.7,11/01/17,43077,42746
AKSHARCHEM,EQ,945,15/05/17,622,08/12/17,42870,43077
AKSHOPTFBR,BE,46.35,08/01/18,16.9,30/06/17,43108,42916
AKZOINDIA,EQ,2089,25/04/17,1328.25,16/01/17,42850,42751
ALANKIT,EQ,88.75,05/01/18,17.4,24/03/17,43105,42818
ALBERTDAVD,EQ,470.8,11/01/18,275,06/10/17,43111,43014
ALBK,EQ,92.4,12/05/17,62.7,23/01/17,42867,42758
ALCHEM,BE,30.5,21/03/17,10.3,12/10/17,42815,43020
ALEMBICLTD,EQ,64.5,10/01/18,33.65,11/08/17,43110,42958
ALICON,EQ,761,09/01/18,363.25,16/02/17,43109,42782
ALKALI,EQ,97.8,31/08/17,55.2,18/08/17,42978,42965
ALKEM,EQ,2469,10/01/18,1578.3,11/08/17,43110,42958
ALKYLAMINE,EQ,764,08/01/18,306.1,16/01/17,43108,42751
ALLCARGO,EQ,228.65,09/01/18,155,11/08/17,43109,42958
ALLSEC,EQ,535,07/11/17,306,18/07/17,43046,42934
ALMONDZ,BE,39.5,01/12/17,12.7,23/03/17,43070,42817
ALOKTEXT,BE,4.7,07/11/17,2.3,20/06/17,43046,42906
ALPA,EQ,56.45,05/01/18,26.8,25/10/17,43105,43033
ALPHAGEO,EQ,1090,26/04/17,750,03/11/17,42851,43042
ALPSINDUS,BE,9.45,27/01/17,4.6,23/11/17,42762,43062
AMARAJABAT,EQ,941,17/05/17,664.55,07/11/17,42872,43046
AMBIKCO,EQ,1859.95,04/01/18,1027.05,20/01/17,43104,42755
AMBUJACEM,EQ,291.5,13/09/17,210.35,11/01/17,42991,42746
AMDIND,EQ,59.45,15/11/17,25.8,28/06/17,43054,42914
