IN9110D01011,GUJNREDVR,EQ,Gujarat NRE Coke Limited
IN9155A01020,TATAMTRDVR,EQ,Tata Motors Limited
IN9175A01010,JISLDVREQS,EQ,Jain Irrigation Systems Limited
IN9623B01058,FELDVR,EQ,Future Enterprises Limited
INE001A01036,HDFC,EQ,Housing Development Finance Corporation Limited
INE001B01026,KRBL,EQ,KRBL Limited
INE002A01018,RELIANCE,EQ,Reliance Industries Limited
INE002L01015,SJVN,EQ,SJVN Limited
INE002S01010,MGL,EQ,Mahanagar Gas Limited
INE003A01024,SIEMENS,EQ,Siemens Limited
INE005D01015,RAMSARUP,BE,Ramsarup Industries Limited
INE005I01014,AMDIND,EQ,AMD Industries Limited
INE006I01046,ASTRAL,EQ,Astral Poly Technik Limited
INE007A01025,CRISIL,EQ,CRISIL Limited
INE007B01023,GEOJITFSL,EQ,Geojit Financial Services Limited
INE008A01015,IDBI,EQ,IDBI Bank Limited
INE008I01026,COX&KINGS,EQ,Cox & Kings Limited
INE009A01021,INFY,EQ,Infosys Limited
INE010A01011,PRISMCEM,EQ,Prism Cement Limited
INE010B01027,CADILAHC,EQ,Cadila Healthcare Limited
INE010J01012,TEJASNET,EQ,Tejas Networks Limited
INE010V01017,LTTS,EQ,L&T Technology Services Limited
INE011H01014,RAJVIR,EQ,Rajvir Industries Limited
INE012A01025,ACC,EQ,ACC Limited
INE013A01015,RELCAPITAL,EQ,Reliance Capital Limited
INE015D01022,MANAKSIA,EQ,Manaksia Limited
INE016A01026,DABUR,EQ,Dabur India Limited
INE016M01021,DNAMEDIA,EQ,Diligent Media Corporation Limited
INE017A01032,GESHIP,EQ,The Great Eastern Shipping Company Limited
INE017D01010,ANGIND,BE,ANG Industries Limited
INE018A01030,LT,EQ,Larsen & Toubro Limited
INE018I01017,MINDTREE,EQ,MindTree Limited
INE019A01038,JSWSTEEL,EQ,JSW Steel Limited
INE019C01026,HSCL,EQ,Himadri Speciality Chemical Limited
INE019J01013,SASTASUNDR,BE,Sastasundar Ventures Limited
INE020B01018,RECLTD,EQ,Rural Electrification Corporation Limited
INE020G01017,AFL,EQ,Accel Frontline Limited
INE020J01029,GOKUL,BE,Gokul Refoils and Solvent Limited
INE021A01026,ASIANPAINT,EQ,Asian Paints Limited
INE022B01014,MUKANDENGG,EQ,Mukand Engineers Limited
INE022C01012,EUROTEXIND,EQ,Eurotex Industries and Exports Limited
INE022I01019,ASIANTILES,EQ,Asian Granito India Limited
INE022Q01012,IEX,EQ,Indian Energy Exchange Limited
INE023A01030,NSIL,EQ,Nalwa Sons Investments Limited
INE023H01027,NECLIFE,EQ,Nectar Lifesciences Limited
INE023M01027,PRAKASHCON,EQ,Prakash Constrowell Limited
INE024L01027,GRAVITA,EQ,Gravita India Limited
INE025A01027,CONSOFINVT,EQ,Consolidated Finvest & Holdings Limited
INE025B01017,GOLDIAM,EQ,Goldiam International Limited
INE026A01025,GSFC,EQ,Gujarat State Fertilizers & Chemicals Limited
INE026A01025,GSFC,IL,Gujarat State Fertilizers & Chemicals Limited
INE027A01015,RCF,EQ,Rashtriya Chemicals and Fertilizers Limited
INE028A01039,BANKBARODA,EQ,Bank of Baroda
INE028B01029,SHARONBIO,BZ,Sharon Bio-Medicine Limited
INE028D01025,RAINBOWPAP,BE,Rainbow Papers Limited
INE029A01011,BPCL,EQ,Bharat Petroleum Corporation Limited
INE029L01018,KICL,EQ,Kalyani Investment Company Limited
INE030A01027,HINDUNILVR,EQ,Hindustan Unilever Limited
INE031A01017,HUDCO,EQ,Housing & Urban Development Corporation Limited
INE031B01049,AJANTPHARM,EQ,Ajanta Pharma Limited
INE032A01023,BOMDYEING,EQ,Bombay Dyeing & Mfg Company Limited
INE032B01021,PRIMESECU,EQ,Prime Securities Limited
INE033B01011,QUINTEGRA,EQ,Quintegra Solutions Limited
INE034A01011,ARVIND,EQ,Arvind Limited
INE034D01031,PTL,BE,PTL Enterprises Limited
INE034H01016,SORILINFRA,EQ,SORIL Infra Resources Limited
INE034S01021,ARVSMART,EQ,Arvind SmartSpaces Limited
INE035D01012,SOTL,EQ,Savita Oil Technologies Limited
INE036A01016,RELINFRA,EQ,Reliance Infrastructure Limited
INE036B01022,GAEL,EQ,Gujarat Ambuja Exports Limited
INE036D01028,KARURVYSYA,EQ,Karur Vysya Bank Limited
INE037A01022,UNIENTER,EQ,Uniphos Enterprises Limited
INE038A01020,HINDALCO,EQ,Hindalco Industries Limited
INE038F01029,TVTODAY,EQ,TV Today Network Limited
INE039A01010,IFCI,EQ,IFCI Limited
INE039B01026,CINEVISTA,BE,Cinevista Limited
INE039C01032,JAMNAAUTO,EQ,Jamna Auto Industries Limited
INE040A01026,HDFCBANK,EQ,HDFC Bank Limited
INE040A01026,HDFCBANK,IL,HDFC Bank Limited
INE040D01038,MAYURUNIQ,EQ,Mayur Uniquoters Ltd
INE040H01021,SUZLON,EQ,Suzlon Energy Limited
INE040M01013,TREEHOUSE,BE,Tree House Education & Accessories Limited
INE041A01016,DHAMPURSUG,EQ,Dhampur Sugar Mills Limited
INE042A01014,ESCORTS,EQ,Escorts Limited
INE043A01012,GTL,EQ,GTL Limited
INE043C01018,IVP,EQ,IVP Limited
INE043D01016,IDFC,EQ,IDFC Limited
INE043K01029,BSLIMITED,EQ,BS Limited
INE044A01036,SUNPHARMA,EQ,Sun Pharmaceutical Industries Limited
INE045A01017,ADORWELD,EQ,Ador Welding Limited
INE045B01015,NELCO,EQ,NELCO Limited
INE045J01026,FCL,EQ,Fineotex Chemical Limited
INE046A01015,RIIL,EQ,Reliance Industrial Infrastructure Limited
INE047A01021,GRASIM,EQ,Grasim Industries Limited
INE047B01011,GILLANDERS,BE,Gillanders Arbuthnot & Company Limited
INE047O01014,NIBL,EQ,NRB Industrial Bearings Limited
INE048B01027,JAGSNPHARM,EQ,Jagsonpal Pharmaceuticals Limited
INE048C01017,VICEROY,EQ,Viceroy Hotels Limited
INE048G01026,NAVINFLUOR,EQ,Navin Fluorine International Limited
INE049A01027,HIMATSEIDE,EQ,Himatsingka Seide Limited
INE049B01025,WOCKPHARMA,EQ,Wockhardt Limited
INE049I01012,NAHARCAP,EQ,Nahar Capital and Financial Services Limited
INE050A01025,BBTC,EQ,Bombay Burmah Trading Corporation Limited
INE050B01023,IVC,EQ,IL&FS Investment Managers Limited
INE050E01027,BALAMINES,EQ,Balaji Amines Limited
INE050H01012,RML,EQ,Rane (Madras) Limited
INE050M01012,VSSL,EQ,Vardhman Special Steels Limited
INE051B01021,VAKRANGEE,EQ,Vakrangee Limited
INE052A01021,WINDMACHIN,EQ,Windsor Machines Limited
INE052I01032,CAMLINFINE,EQ,Camlin Fine Sciences Limited
INE053A01029,INDHOTEL,EQ,The Indian Hotels Company Limited
INE054A01027,VIPIND,EQ,VIP Industries Limited
INE055A01016,CENTURYTEX,EQ,Century Textiles & Industries Limited
INE056C01010,TATAMETALI,EQ,Tata Metaliks Limited
INE056I01017,REFEX,EQ,Refex Industries Limited
INE058A01010,SANOFI,EQ,Sanofi India Limited
INE058B01018,ZENITHEXPO,EQ,Zenith Exports Limited
INE059A01026,CIPLA,EQ,Cipla Limited
INE059B01024,SIMPLEXINF,EQ,Simplex Infrastructures Limited
INE059D01020,LAOPALA,EQ,La Opala RG Limited
INE060A01024,NAVNETEDUL,EQ,Navneet Education Limited
INE060B01014,KHANDSE,BE,Khandwala Securities Limited
INE060J01017,FLEXITUFF,BE,Flexituff International Limited
INE061A01014,INDIANCARD,EQ,Indian Card Clothing Company Limited
INE061F01013,FORTIS,EQ,Fortis Healthcare Limited
INE062A01020,SBIN,EQ,State Bank of India
INE062D01024,ALICON,EQ,Alicon Castalloy Limited
INE063J01011,EUROMULTI,EQ,Euro Multivision Limited
INE064C01014,TRIDENT,EQ,Trident Limited
INE065B01013,INDLMETER,BE,IMP Powers Limited
INE065J01016,GISOLUTION,EQ,GI Engineering Solutions Limited
INE066A01013,EICHERMOT,EQ,Eicher Motors Limited
INE066O01014,WONDERLA,EQ,Wonderla Holidays Limited
INE066P01011,INOXWIND,EQ,Inox Wind Limited
INE067A01029,CGPOWER,EQ,CG Power and Industrial Solutions Limited
INE067D01015,VIMALOIL,BE,Vimal Oil & Foods Limited
INE067H01016,ABGSHIP,BZ,ABG Shipyard Limited
